race_id,track,race_number,distance,surface,date_time,race_description,available_bets
112,LAX,R2,4.5f,D,05-27-2016<br>19:26,LAX R2 4.5f D 05-27-2016<br>19:26 Pacific ,LAX R2 4.5f D 05-27-2016<br>19:26 Pacific 
113,LAX,R5,4.5f,D,05-27-2016<br>20:44,LAX R5 4.5f D 05-27-2016<br>20:44 Pacific ,LAX R5 4.5f D 05-27-2016<br>20:44 Pacific 
114,MDX,R1,6f,D,05-27-2016<br>18:05,MDX R1 6f D 05-27-2016<br>18:05 Pacific ,MDX R1 6f D 05-27-2016<br>18:05 Pacific 
115,MDX,R2,4f,D,05-27-2016<br>18:30,MDX R2 4f D 05-27-2016<br>18:30 Pacific ,MDX R2 4f D 05-27-2016<br>18:30 Pacific 
116,MDX,R3,4f,D,05-27-2016<br>18:55,MDX R3 4f D 05-27-2016<br>18:55 Pacific ,MDX R3 4f D 05-27-2016<br>18:55 Pacific 
117,MDX,R4,4f,D,05-27-2016<br>19:20,MDX R4 4f D 05-27-2016<br>19:20 Pacific ,MDX R4 4f D 05-27-2016<br>19:20 Pacific 
118,MDX,R5,4f,D,05-27-2016<br>19:45,MDX R5 4f D 05-27-2016<br>19:45 Pacific ,MDX R5 4f D 05-27-2016<br>19:45 Pacific 
119,MDX,R6,4f,D,05-27-2016<br>20:10,MDX R6 4f D 05-27-2016<br>20:10 Pacific ,MDX R6 4f D 05-27-2016<br>20:10 Pacific 
120,MDX,R7,4f,D,05-27-2016<br>20:35,MDX R7 4f D 05-27-2016<br>20:35 Pacific ,MDX R7 4f D 05-27-2016<br>20:35 Pacific 
121,NPX,R1,6f,D,05-27-2016<br>17:30,NPX R1 6f D 05-27-2016<br>17:30 Pacific ,NPX R1 6f D 05-27-2016<br>17:30 Pacific 
122,NPX,R2,6.5f,D,05-27-2016<br>17:58,NPX R2 6.5f D 05-27-2016<br>17:58 Pacific ,NPX R2 6.5f D 05-27-2016<br>17:58 Pacific 
123,NPX,R3,6.5f,D,05-27-2016<br>18:26,NPX R3 6.5f D 05-27-2016<br>18:26 Pacific ,NPX R3 6.5f D 05-27-2016<br>18:26 Pacific 
124,NPX,R4,6f,D,05-27-2016<br>18:56,NPX R4 6f D 05-27-2016<br>18:56 Pacific ,NPX R4 6f D 05-27-2016<br>18:56 Pacific 
125,NPX,R5,6.5f,D,05-27-2016<br>19:26,NPX R5 6.5f D 05-27-2016<br>19:26 Pacific ,NPX R5 6.5f D 05-27-2016<br>19:26 Pacific 
126,NPX,R6,6f,D,05-27-2016<br>19:56,NPX R6 6f D 05-27-2016<br>19:56 Pacific ,NPX R6 6f D 05-27-2016<br>19:56 Pacific 
127,NPX,R7,6f,D,05-27-2016<br>20:26,NPX R7 6f D 05-27-2016<br>20:26 Pacific ,NPX R7 6f D 05-27-2016<br>20:26 Pacific 
