race_id,track,race_number,distance,surface,date_time,race_description,available_bets
510,CDX,R6,8.5f,D,05-29-2016<br>12:15,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 118 lbs.; Older; 125 ,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 6-7-8) PICK 5 (6-7-8-9-10)
511,CDX,R7,8f,T,05-29-2016<br>12:47,FOR THREE YEAR OLDS WHICH HAVE NEVER WON THREE RACES. Weight; 122 lbs. Non-winne,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 7-8-9) PICK 4 (RACES 7-8-9-10)
512,CDX,R8,8f,D,05-29-2016<br>13:19,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 116 lbs.; Older; 123 ,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA / PICK 3 (RACES 8-9-10)
513,CDX,R9,7f,D,05-29-2016<br>13:51,FOR FILLIES THREE YEARS OLD  WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN; CLAI,DAILY DOUBLE / EXACTA / TRIFECTA / SUPERFECTA
514,CDX,R10,8f,T,05-29-2016<br>14:23,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD WHICH HAVE NEVER WON TWO RACES,EXACTA / TRIFECTA / SUPERFECTA / SUPERFECTA HI-5
515,EMD,R1,6f,D,05-29-2016<br>14:00,FOR MAIDENS; FILLIES THREE YEARS OLD. Weight; 121 lbs. Claiming Price $8;000; if,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 1-2-3) $.50 PICK 4 (RACES 1-2-3-4)
516,EMD,R2,5.5f,D,05-29-2016<br>14:26,FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON TWO RACES. Three Year Olds; ,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 2-3-4)
517,EMD,R3,6f,D,05-29-2016<br>14:52,FOR MAIDENS; THREE YEARS OLD  AND UPWARD. Three Year Olds; 120 lbs.; Older; 124 ,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 3-4-5) $.20 PICK 7 (RACES 3-4-5-6-7-8-9)
518,EMD,R4,5.5f,D,05-29-2016<br>15:19,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Ol,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 4-5-6) $2 123RACING WAGER
519,EMD,R5,6f,D,05-29-2016<br>15:46,FOR FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds; 119 lbs.; Ol,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 5-6-7) $.50 PICK 5 (RACES 5-6-7-8-9)
520,EMD,R6,8f,D,05-29-2016<br>16:16,FOR THREE YEAR OLDS AND UPWARD. Three Year Olds; 120 lbs.; Older; 124 lbs. Non-w,$1 DAILY DOUBLE / $1 EXACTA / $.50 TRIFECTA $.10 SUPERFECTA / $.50 PICK 3 (RACES 6-7-8) $.50 PICK 4 (RACES 6-7-8-9)
