Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
CHARLIE MONKEY,10.8,12,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,120,.8555,4,-.0399
TONY TEQUILA,5.7,11,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,125,.8924,2,-2.999961E-03
DONJIISLUCKY,11.3,5,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,113,.8954,1,2.999961E-03
SOAP BOX,1.9,3,0,0,3.2,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,120,.8091,6,-8.630002E-02
AWESOME ENCOUNTER,14.1,1,30.2,14.4,8.2,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,120,.8637,3,-3.170002E-02
AIDAN'S HOPE,26,2,0,22,7.8,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,118,.6966,10,-.1988
DYNAMIC SCORING,2.3,4,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,120,.8346,5,-6.080002E-02
STORMIN FOREST,19.6,8,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,125,.7189,9,-.1765
LUCKY DOUBLE,42,7,0,0,0,803.4,0,12,SAX,7,05-30-2016,1210,D,FT,M,19000,113,.7998,7,-9.560001E-02
NANCY FROM NAIROBI,5.4,6,0,0,0,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.8538,4,-.0948
DRESSED TO A T,66.5,7,0,0,0,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.5333,8,-.4153
FANTICOLA,7.1,5,0,0,0,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.844,5,-.1046
ELEKTRUM (IRE),8.8,3,0,0,3.8,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.883,2,-6.559998E-02
WEKEELA (FR),.8,2,0,2.6,2.4,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.7538,6,-.1948
KERI BELLE,18.6,4,0,0,0,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.9486,1,6.559998E-02
ILLUMINANT,5.2,1,12.4,5,3.4,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.8699,3,-7.870001E-02
NASHOBA'S GOLD,31.5,8,0,0,0,33,0,8,SAX,8,05-30-2016,1980,T,FM,G1,300000,121,.689,7,-.2596
CHASINTHEACES,11.8,4,0,0,0,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.9626,1,6.730002E-02
KARMA KING,3.9,1,9.8,3.6,2.6,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.8786,3,-8.399999E-02
WHICH MARKET,22.3,8,0,0,0,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.7642,7,-.1984
CITY OF VENGEANCE,10.3,7,0,0,0,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.8498,4,-.1128
OUT OF PATIENCE,8,3,0,0,3.6,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,116,.8244,5,-.1382
STORY TO TELL,1,2,0,2.8,2.4,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.811,6,-.1516
LIMITED RESPONSE,19.7,5,0,0,0,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.7286,8,-.234
NOBLE KENT,6.6,6,0,0,0,24,0,8,SAX,9,05-30-2016,1540,D,FT,C,35000,125,.8953,2,-6.730002E-02
CAUSE I'M BAD,15.4,10,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,116,.7528,9,-.1504
SUNSET ARCH,30.9,8,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,118,.6827,10,-.2205
TIZZING,3.6,3,0,0,3.2,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,123,.8446,7,-5.859995E-02
AUTUMN KING,47.3,5,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,118,.9032,1,2.999902E-04
LANTZMAN,40,9,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,116,.8241,8,-7.909995E-02
MOSTINTERESTINGMAN,3.9,2,0,4.2,2.8,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,125,.8688,5,-3.439999E-02
SCATASTROPHE,3.8,7,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,118,.8774,4,-2.579999E-02
HE'S A KNOCKOUT,45.3,6,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,118,.9029,2,-2.999902E-04
EL SUPER,4.9,1,11.8,6,4,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,125,.8602,6,-4.299998E-02
CLEAR THE WAY,3.3,4,0,0,0,65.6,0,10,SAX,10,05-30-2016,1980,T,FM,M,31000,118,.8862,3,-1.699996E-02
BRITE RULER,29.4,6,0,0,0,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,118,.7418,8,-.1596
WARREN'S GUS,14.2,5,0,0,0,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,118,.9014,1,1.160002E-02
MAGNIFICENT CHANCE,1.4,1,4.8,2.8,2.2,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,118,.8254,4,-7.600003E-02
ACADEMY RUN,12.3,8,0,0,0,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,120,.8286,3,-7.280004E-02
BULLFIGHT,1.8,2,0,2.8,2.4,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,123,.7798,7,-.1216
SUN CATCHER,4.2,4,0,0,0,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,123,.807,5,-9.440005E-02
SICARIO,12.4,3,0,0,4,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,118,.8898,2,-1.160002E-02
TAVERN LAW,35.5,7,0,0,0,11.2,0,8,SRP,4,05-28-2016,990,D,FT,C,7000,118,.7848,6,-.1166
PINK POWER,40.3,8,0,0,0,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,120,.8136,4,-.1439
IMAPISTOL,22.2,7,0,0,0,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,120,.7656,8,-.1919
MAKER PAY,4.1,5,0,0,0,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,123,.7987,5,-.1588
CHARLOTTE'S SAINT,42.4,3,0,0,4.6,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,120,.8506,2,-.1069
TAYLOR RHYTHM,22.4,4,0,0,0,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,120,.8377,3,-.1198
WHAT A FLAG,2.1,1,6.2,3.2,2.6,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,117,.7961,6,-.1614
CAUGHT YOU,.9,2,0,2.4,2.1,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,123,.775,7,-.1825
I AM DANDY,14.8,6,0,0,0,9.6,0,8,SRP,5,05-28-2016,1430,D,FT,C,9500,120,.9575,1,.1069
CELESTIAL IMAGE,2.5,4,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,123,.7333,7,-.1887
DIABOLICAL LUXURY,5.2,6,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,117,.8314,4,-9.060001E-02
C'MON LIGHTNING,1.6,2,0,3.2,2.8,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,123,.7673,6,-.1547
GRAND SUNSET,7.9,7,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,120,.922,1,2.590001E-02
AGGIE COLEMINER,65.6,5,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,123,.5594,9,-.3626
SMART IDEA,3.6,3,0,0,3.8,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,123,.8298,5,-9.219998E-02
BARNYARD BULLY,42.5,9,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,123,.8961,2,-2.590001E-02
SENOR PABLO,38.6,1,79.2,16.4,7.2,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,120,.891,3,-3.100002E-02
UNCLE CLAUDE,31.6,8,0,0,0,297,0,9,SRP,6,05-28-2016,990,D,FT,C,7200,120,.665,8,-.257
SIX MILLION,63.6,7,0,0,0,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,117,.5039,8,-.397
LATITUDEFORTYTWO,12.2,5,0,0,0,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,120,.8527,4,-4.820001E-02
MERLOT BRANDO,8.9,8,0,0,0,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,123,.9009,1,2.100003E-02
HOT TUB,12.6,2,0,8.6,4,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,123,.8799,2,-2.100003E-02
THE GREY SAINT,1.6,1,5.2,3.4,2.1,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,120,.7873,6,-.1136
BACK ALLEY RALLY,3.2,3,0,0,2.4,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,120,.8543,3,-4.659998E-02
FLAT GONE,2.2,6,0,0,0,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,120,.8006,5,-.1003
MR RED R,22.4,4,0,0,0,39.4,0,8,SRP,7,05-28-2016,1430,D,FT,C,7700,123,.7745,7,-.1264
BOBBIES FLIGHT,11.3,4,0,0,0,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,118,.9164,3,-3.299999E-02
TRICKY TRIX,5.9,2,0,5,3,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,120,.9494,1,1.440001E-02
ROLLSETROLL,2,3,0,0,2.1,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,123,.7482,6,-.2012
FLOOD ZONE,32.3,7,0,0,0,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,118,.7126,7,-.2368
DESERT CAT,13.8,5,0,0,0,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,120,.8747,4,-.0747
SPOTLIGHT MISS,.8,1,3.6,2.6,2.1,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,120,.7528,5,-.1966
C C MANOR,18.2,6,0,0,0,13.4,0,7,SRP,8,05-28-2016,1430,D,FT,CO,10100,118,.935,2,-1.440001E-02
SHAMLESS,24.3,8,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,123,.8855,1,2.400041E-03
HELD IN ESTEEM,4.7,9,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,123,.8316,6,-.0539
UPTOWN ABBEY,35.1,3,0,0,17.6,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,117,.7653,9,-.1202
ROCK THE RUN,6,4,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,120,.8414,3,-4.409999E-02
LAST BEST WEST,8.1,5,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,120,.8372,4,-4.830003E-02
TOMEGA,42.2,7,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,123,.8251,7,-6.040001E-02
CHORD MASTER,5.3,2,0,5.6,4.2,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,123,.836,5,-4.949999E-02
TUSCAN THUNDER,3.4,1,8.8,5,5,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,123,.8831,2,-2.400041E-03
FISCHER KING,1.9,6,0,0,0,46,0,9,SRP,9,05-28-2016,990,D,FT,M,6000,120,.8074,8,-7.810003E-02
PULPITS ATTITUDE,25.4,6,0,0,0,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.6943,7,-.1831
WORRY THIS,9.1,4,0,0,0,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.8423,2,-3.509998E-02
CASH SOURCE,22.9,7,0,0,0,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.8269,3,-5.049998E-02
ROSA'S CATENA,25,5,0,0,0,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.7644,6,-.113
JACKS PARTY,1.7,3,0,0,2.1,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.7962,5,-.0812
CHASING OUR DREAMS,1,1,4,2.4,2.1,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,123,.8078,4,-6.959999E-02
WHATAKISS,5.4,2,0,4,2.6,20.6,0,7,SRP,5,05-29-2016,1430,D,FT,CO,10100,118,.8774,1,3.509998E-02
BOLD MEETING,49.4,7,0,0,0,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,120,.9677,1,6.809998E-02
ARMENSKY,1.9,1,5.8,3.2,2.4,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,123,.8123,6,-.1554
AS GOOD AS GOLD,3,6,0,0,0,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,120,.812,7,-.1557
GAMBLER BILL,7.2,4,0,0,0,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,120,.8585,5,-.1092
ABSOLUTE HONOUR,22.3,5,0,0,0,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,123,.8714,4,-9.630001E-02
WORRYBOUTURSELF,2.8,3,0,0,2.6,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,117,.7934,8,-.1743
SOME DANDY,5.6,2,0,5,3.2,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,117,.8897,3,-7.800001E-02
STAND EM UP,16.3,8,0,0,0,23.4,0,8,SRP,6,05-29-2016,1650,D,FT,C,7000,120,.8996,2,-6.809998E-02
METRO DREAMER,1.8,1,5.6,2.8,2.1,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,123,.7902,4,-.1673
WARREN'S TYLER S.,4.2,3,0,0,2.4,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,123,.8289,3,-.1286
ROCK HARD CITY,1.2,2,0,4,2.6,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,123,.7566,5,-.2009
MEMO TO MYA,10.2,6,0,0,0,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,120,.8322,2,-.1253
GOD OF WAR (BRZ),31,4,0,0,0,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,123,.6688,6,-.2887
GIACOMO AND JACK,6.9,5,0,0,0,13.8,0,6,SRP,7,05-29-2016,1430,D,FT,CO,8100,123,.9575,1,.1253
MUY RAPIDO,7.2,1,16.4,6.8,4.8,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,123,.861,2,-6.989998E-02
MY DANDY GIRL,4.6,6,0,0,0,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,120,.8075,4,-.1234
STORMIN CREEK,3.7,2,0,4,3,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,123,.8512,3,-7.969999E-02
MISSCHARLYPOTATOES,4,4,0,0,0,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,118,.793,5,-.1379
DESERT GAMBLER,1.2,5,0,0,0,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,123,.7559,6,-.175
TYLERS DIXIE CHICK,9.9,3,0,0,3.6,56.4,0,6,SRP,8,05-29-2016,1430,D,FT,CO,19000,118,.9309,1,6.989998E-02
MISS PINKY PIE,2.4,1,6.8,4.4,3,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,117,.8473,4,-5.320001E-02
HONOR STUDENT,9.7,3,0,0,7.6,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,120,.8656,3,-3.490001E-02
SPARKIE,46.9,8,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,123,.9005,1,2.670002E-02
PRETTY NICE,41.8,9,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,123,.8132,8,-.0873
KORCHA KID,16,10,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,123,.8738,2,-2.670002E-02
SUGAR PINE POINT,2.3,4,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,120,.8405,5,-.06
DOUBLE DEHERE,12.8,7,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,120,.8004,9,-.1001
BUNGA BUNGA,37.9,6,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,120,.8364,6,-6.410003E-02
BRITNEY'S GIRL,2.6,2,0,4.8,3.6,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,120,.7484,10,-.1521
PUNK FEVER,12.2,5,0,0,0,29,0,10,SRP,9,05-29-2016,990,D,FT,M,6000,123,.829,7,-.0715
LADY SHAZZAM,1.4,6,0,0,0,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,123,.8165,7,-.1089
SOUR GIRL,16,2,0,8.2,4.6,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,120,.8483,3,-7.710004E-02
TAKE IT SLOWLY,4.7,3,0,0,4.6,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,123,.8185,6,-.1069
TWILIGHTINPRIDDIS,7,5,0,0,0,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,123,.8264,5,-9.900004E-02
WONDER ABOUT LOLA,2.3,4,0,0,0,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,123,.827,4,-.0984
JS LUCKY CHARM,14.5,1,31,13,8.6,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,120,.9254,1,4.269999E-02
MONTEREY KRIS,8.7,7,0,0,0,124.2,0,7,SRP,1,05-30-2016,1430,D,FT,C,7400,123,.8827,2,-4.269999E-02
ELUSIVE FLEET,39.3,7,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8785,1,2.099997E-02
COLORFUL PACHE,24.4,9,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8484,5,-3.009999E-02
CRAFTY MISS,3.2,1,8.4,4.4,3.4,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8543,3,-2.419996E-02
MISTY MIRAGE,15.2,4,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8311,6,-.0474
CLASSY DOM,7.2,6,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8503,4,-2.819997E-02
JUDY'S BLUFF,24,3,0,0,5.8,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8575,2,-2.099997E-02
WICKED PERTY,1.7,2,0,4.4,2.6,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.7814,8,-9.709996E-02
PACHE MARIEA,73.6,10,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.6043,10,-.2742
PAYMEFIRST,2.3,5,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.8111,7,-6.739998E-02
EMMIE B WHO,26.2,8,0,0,0,26.2,0,10,SRP,2,05-30-2016,1430,D,FT,C,9200,123,.7072,9,-.1713
DANIEL,27.7,8,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.7519,8,-.1253
HOT NEWS,6.1,7,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.8208,5,-.0564
OCTAGON FIGHTER,16.2,2,0,11.4,9.4,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,120,.8772,1,.0158
TONY P.,57.8,10,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.4469,10,-.4303
YOUR SAINT,4.2,9,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.8341,4,-.0431
TRIPLE DIAMONDS,1.7,6,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,120,.7846,7,-9.259999E-02
IZA DIABOLIC DUDE,3.7,1,9.4,5.2,4,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.8366,3,-.0406
I'LL TAKE THE HEAT,4.9,5,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,120,.8614,2,-.0158
WHATA WILD NIGHT,56.3,3,0,0,17.8,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.4584,9,-.4188
JIM WADE,23,4,0,0,0,116.2,0,10,SRP,3,05-30-2016,990,D,FT,C,11200,123,.7848,6,-9.240001E-02
FINAL THUNDER,18.5,7,0,0,0,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,117,.9555,1,2.829999E-02
TRICKY STORM,16,8,0,0,0,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,117,.8755,4,-7.999998E-02
BOLD TEMPEST,.4,1,2.8,2.4,2.2,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,123,.8403,5,-.1152
MUGHAADIR,3.8,5,0,0,0,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,120,.876,3,-7.950002E-02
ALTONA CAT,6.6,3,0,0,3.4,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,117,.9272,2,-2.829999E-02
SLEWPERMAN,71,4,0,0,0,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,120,.5688,8,-.3867
GUYBRUSH,21.1,6,0,0,0,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,123,.7337,7,-.2218
BADGER MOUNTAIN,21.5,2,0,8.6,4.2,48.2,0,8,SRP,4,05-30-2016,1650,D,FT,C,10600,120,.8055,6,-.15
SILVER ICING,27.3,7,0,0,0,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,120,.7584,6,-.1797
FREE ROMAN DOLLY,21.6,2,0,5.6,3.2,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,120,.7774,5,-.1607
REMAGEN,21.2,6,0,0,0,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,120,.7415,7,-.1966
URGRACEISENOUGH,7.8,8,0,0,0,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,123,.9381,1,5.429995E-02
L J'S AWESOME GIRL,1.1,1,4.2,3.2,2.4,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,117,.8635,3,-7.459998E-02
JOCK'S ROOM,1.3,3,0,0,2.2,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,123,.7903,4,-.1478
ALY'S BOBCAT,29.6,5,0,0,0,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,120,.7252,8,-.2129
SMOKE'NTOTHELEAD,10.8,4,0,0,0,56,0,8,SRP,5,05-30-2016,990,D,FT,A,16200,120,.8838,2,-5.429995E-02
VELVET HEELS,1.8,4,0,0,0,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,123,.758,6,-.1757
BELLA LUZ,11.6,7,0,0,0,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,120,.9337,1,4.530001E-02
G M UP N ATOM,29.4,5,0,0,0,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,118,.7418,7,-.1919
LOSTINTHISMOMENT,6.3,2,0,5.6,3,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,118,.8884,2,-4.530001E-02
CEE'S JOY,1.7,1,5.4,3.2,2.4,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,123,.807,5,-.1267
LIL BARBIE DOODLE,10.1,6,0,0,0,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,123,.8436,4,-9.010005E-02
SEXY MOMMA,4.4,3,0,0,2.8,25,0,7,SRP,6,05-30-2016,1430,D,FT,C,7000,123,.8537,3,-8.000004E-02
ANZIGER,16.7,5,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,117,.885,2,-3.100002E-02
TONIGHT AT ELEVEN,3.9,1,9.8,4.6,3.4,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,120,.8658,3,-5.019999E-02
KISS THE PREACHER,27.2,8,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,117,.7163,7,-.1997
GREGOR,5.3,3,0,0,5.4,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,120,.8423,4,-7.370001E-02
COUNT YOUR MONEY,4.3,7,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,120,.8151,5,-.1009
TEARNUPTHUNDER,30.8,2,0,22.2,8.6,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,120,.6805,8,-.2355
TOO MUCH JOHNSON,1.4,6,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,123,.8014,6,-.1146
PULPITS PROOF,59.5,9,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,117,.4961,9,-.4199
MALIBU PARK,5.8,4,0,0,0,114.2,0,9,SRP,7,05-30-2016,1430,D,FT,C,6400,120,.916,1,3.100002E-02
HE'S A BLING,6.5,3,0,0,4,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,120,.9165,2,-4.100025E-03
FRANKLYENERGIZED,4.1,4,0,0,0,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,120,.791,7,-.1296
PUT YOUR PANTS ON,14.1,1,30.2,9.8,6,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,120,.8834,4,-3.719997E-02
FOREST MOUSE,.8,8,0,0,0,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,123,.7393,8,-.1813
WED TOO QUICK,39.2,7,0,0,0,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,123,.9206,1,4.100025E-03
RANGER MARINI,14.6,2,0,15.6,5.8,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,120,.9064,3,-1.419997E-02
LA SWIFT,24.5,6,0,0,0,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,123,.7982,6,-.1224
GET A NOTION,5,5,0,0,0,487,0,8,SRP,8,05-30-2016,1430,D,FT,CO,17000,120,.8226,5,-9.799999E-02
FLYING CLIFF,88.3,6,0,0,0,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,123,.3483,9,-.5980999
COGITO QUICK,20.8,7,0,0,0,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,120,.6976,7,-.2488
STORM OF ROSES,6.9,2,0,4.6,4.2,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,120,.9464,1,8.719999E-02
DOIN MY TIME,64.6,8,0,0,0,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,123,.5379,8,-.4085
SUPERBAD WARNING,22.8,5,0,0,0,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,123,.8592,2,-8.719999E-02
STREAKIN LANE,2,4,0,0,0,17,0,9,SRP,9,05-30-2016,990,D,FT,S,12500,123,.7533,6,-.1931
