Name,Odds,FinishPosition,$2WinPay,$2PlacePay,$2ShowPay,ExactaPay,QuinellaPayFieldSize,Track,RaceNum,Date,DistYrds,Surface,TrackCondition,ClassDescriptor,Purse,Weight,BettersToteProb,BettersToteProbRk,BettersToteProbDiff
CHERNYAHOVSKIY,5.1,3,0,0,3,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,122,.8266,5,-.1104
OUTLAWJOE,5.9,5,0,0,0,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,122,.937,1,.0715
SUMMER DISCO,2.9,4,0,0,0,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,119,.8405,3,-9.649998E-02
MEAN INTENTIONS,1.4,1,4.8,2.8,2.4,20.8,0,6,APX,1,05-29-2016,1430,D,FT,C,15000,122,.823,6,-.114
FASHION HILL,1.2,1,4.4,3.2,2.4,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,119,.763,5,-.1702
SISTER CEARI,3.4,2,0,4.2,2.6,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,118,.8989,2,-3.430003E-02
HAVINGNOEQUAL,6.7,4,0,0,0,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,124,.9332,1,3.430003E-02
TINA OF EKATI,2.5,3,0,0,2.2,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,124,.7406,6,-.1926
GIFT OF SENSE,13.3,5,0,0,0,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,124,.8809,4,-5.229998E-02
MALLORY'S CHANNEL,17.6,6,0,0,0,11.8,0,6,APX,2,05-29-2016,1540,D,FT,M,17000,119,.8984,3,-3.479999E-02
RABANITO,13.9,3,0,0,5.6,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,119,.8746,4,-2.149999E-02
TEN GUITARS,14.3,6,0,0,0,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,116,.8935,2,-2.600014E-03
RETURN OF THE ROCK,3.5,5,0,0,0,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,121,.8249,6,-7.120001E-02
MENDOTA,1.2,1,4.4,2.8,2.4,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,121,.7548,7,-.1413
IN THE CHAMBER,3.8,2,0,3.8,3.2,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,121,.8659,5,-.0302
BIG IMAGINATION,7.6,4,0,0,0,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,116,.8961,1,2.600014E-03
BOURNE COUNTRY,11.1,7,0,0,0,16.4,0,7,APX,3,05-29-2016,1760,T,YL,C,19000,116,.8821,3,-.014
TRUSTY TRUMAN,2.2,2,0,3.8,2.8,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.807,5,-9.150004E-02
HAWK IS READY,14,4,0,0,0,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.8985,1,.0291
G F BUDDERS,2,5,0,0,0,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.7533,6,-.1452
CARTIAC ROAD,29,3,0,0,6.6,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.711,8,-.1875
AFTER THE GOLDRUSH,10.5,7,0,0,0,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.8694,2,-.0291
FERLIN HUSKY,2.4,1,6.8,3.8,3,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,124,.8452,3,-5.330002E-02
SOCKSBDANCING,28.7,8,0,0,0,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.7455,7,-.153
THREE GOLDEN RULES,15.4,6,0,0,0,20.6,0,8,APX,4,05-29-2016,1320,D,FT,M,13000,118,.8348,4,-6.370002E-02
RED BUTTE,11.8,6,0,0,0,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,119,.8461,5,-9.020001E-02
STREET PREACHER,10.7,8,0,0,0,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,110,.8857,3,-5.059999E-02
ORCUS,2,5,0,0,0,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,124,.7479,8,-.1884
CONGRATS GIVEN,21,4,0,0,0,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,119,.7964,7,-.1399
CANNES,1.9,2,0,3.8,3,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,119,.8039,6,-.1324
MOONLIGHT MISCHIEF,12.1,7,0,0,0,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,115,.8502,4,-8.609998E-02
CHEERS TO US,6.6,1,15.2,5.4,4.6,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,119,.8953,2,-4.100001E-02
INTREPID HUMOR,6.6,3,0,0,4,65.2,0,8,APX,5,05-29-2016,1760,T,YL,M,21000,124,.9363,1,4.100001E-02
DR. CLARK,1.1,3,0,0,2.4,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.848,3,-7.050002E-02
CAITLINS ROAD,4.4,2,0,4.8,3,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.8521,2,-6.639999E-02
TURBULENT WAR,28.6,7,0,0,0,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,114,.8318,6,-8.670002E-02
SMOKEY ROW MAC,7.9,6,0,0,0,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.9185,1,6.639999E-02
SOPRANO'S SONATA,12,8,0,0,0,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.8398,4,-7.870001E-02
BRIAR'S GOLD,4.7,4,0,0,0,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.8202,7,-9.829998E-02
MR DOUBLE STANDARD,7,1,16,6.6,3.8,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.8392,5,-7.929999E-02
PRIZE NATIVE,31.9,5,0,0,0,103.6,0,8,APX,6,05-29-2016,1320,D,FT,A,33000,121,.6745,8,-.244
WIN D PRADO,4.8,7,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.8207,7,-.1445
GRIFFIN THE GREAT,20.7,9,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.7812,8,-.184
FRONTIER FORCE,18.9,4,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.9652,1,8.609998E-02
O NO NOT U AGAIN,12.7,8,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,116,.8645,4,-.1007
POKER PLAYER,7.2,3,0,0,4.6,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.8389,6,-.1263
GHOST TO GHOST,3.4,5,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.8791,2,-8.609998E-02
A NICE SLEWISH BOY,4,6,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.7765,9,-.1887
W B AND ME,4.3,2,0,6.6,4.6,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.8528,5,-.1124
VIKING,8.7,1,19.4,9.2,6.2,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.8769,3,-8.829999E-02
BALLISTIC TIM,33.2,10,0,0,0,112.8,0,10,APX,7,05-29-2016,1760,T,YL,C,15000,121,.7216,10,-.2436
RED REDEMPTION,5.3,1,12.6,7.4,4.4,217.8,0,8,APX,8,05-29-2016,1430,D,FT,C,11000,122,.8455,4,-4.369998E-02
TACTICAL CHARLIE,4.7,7,0,0,0,217.8,0,8,APX,8,05-29-2016,1430,D,FT,C,11000,117,.8516,3,-3.759998E-02
